rainfall_mm,soil_quality_index,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
954.0,1.0,943.0,9.0,1352,528.0
1217.0,8.0,849.0,5.0,869,493.0
1234.0,3.0,74.0,4.0,933,97.0
1907.0,6.0,703.0,4.0,2004,459.0
1350.0,3.0,250.0,8.0,2383,218.0
1890.0,5.0,378.0,7.0,2309,301.0
643.0,7.0,545.0,4.0,653,317.0
1384.0,2.0,393.0,7.0,2935,299.0
1592.0,6.0,440.0,6.0,1191,302.0
1622.0,6.0,976.0,5.0,1296,573.0
895.0,3.0,92.0,12.0,1760,113.0
1548.0,6.0,991.0,4.0,658,566.0
1447.0,10.0,840.0,10.0,360,490.0
1390.0,10.0,706.0,7.0,2364,461.0
1992.0,5.0,960.0,8.0,1940,587.0
1674.0,2.0,837.0,8.0,1247,496.0
1667.0,9.0,620.0,4.0,904,394.0
1068.0,8.0,583.0,9.0,1285,364.0
1562.0,3.0,295.0,12.0,2348,247.0
608.0,8.0,998.0,5.0,2549,583.0
1565.0,9.0,543.0,10.0,374,343.0
1709.0,3.0,468.0,9.0,305,296.0
1434.0,3.0,221.0,8.0,1823,195.0
897.0,2.0,135.0,7.0,966,116.0
1746.0,8.0,422.0,7.0,192,282.0
1133.0,10.0,508.0,9.0,1165,330.0
1656.0,1.0,434.0,7.0,2526,318.0
1686.0,8.0,563.0,8.0,1451,376.0
1738.0,7.0,619.0,9.0,2212,419.0
1232.0,7.0,970.0,8.0,464,544.0
734.0,3.0,552.0,10.0,920,321.0
1157.0,1.0,167.0,12.0,1607,152.0
1250.0,4.0,121.0,10.0,2129,148.0
1087.0,9.0,411.0,10.0,2024,296.0
1532.0,5.0,768.0,7.0,2687,492.0
1597.0,1.0,131.0,4.0,1185,138.0
1453.0,5.0,282.0,11.0,2638,246.0
991.0,8.0,303.0,7.0,1396,224.0
1412.0,8.0,407.0,4.0,2376,308.0
1776.0,5.0,480.0,8.0,1143,325.0
1753.0,9.0,994.0,11.0,102,569.0
1697.0,1.0,216.0,7.0,1853,197.0
1691.0,4.0,119.0,11.0,1010,138.0
669.0,3.0,449.0,11.0,406,258.0
1916.0,2.0,287.0,6.0,2579,255.0
1445.0,8.0,972.0,12.0,235,549.0
1294.0,7.0,577.0,6.0,2032,381.0
1133.0,9.0,896.0,4.0,2662,552.0
1717.0,2.0,924.0,5.0,2340,563.0
528.0,4.0,578.0,9.0,1708,346.0
1688.0,6.0,949.0,5.0,1538,566.0
1945.0,3.0,491.0,9.0,972,328.0
838.0,8.0,812.0,4.0,1241,470.0
1888.0,3.0,123.0,4.0,765,138.0
1865.0,2.0,902.0,8.0,308,516.0
999.0,3.0,906.0,12.0,1051,509.0
1010.0,6.0,829.0,11.0,1157,479.0
1850.0,2.0,862.0,6.0,748,504.0
716.0,8.0,486.0,6.0,1441,308.0
1824.0,1.0,719.0,4.0,2267,460.0
1655.0,7.0,942.0,6.0,726,548.0
1593.0,2.0,330.0,4.0,624,228.0
1775.0,10.0,188.0,11.0,1704,200.0
1938.0,6.0,906.0,4.0,1968,561.0
944.0,2.0,228.0,8.0,868,162.0
1375.0,2.0,798.0,12.0,2659,497.0
1705.0,10.0,958.0,10.0,2194,593.0
666.0,8.0,537.0,7.0,871,321.0
590.0,2.0,501.0,12.0,839,288.0
1213.0,7.0,900.0,12.0,621,512.0
538.0,3.0,70.0,5.0,1500,86.0
1649.0,8.0,63.0,9.0,2281,141.0
1974.0,7.0,689.0,7.0,347,423.0
672.0,8.0,547.0,11.0,1441,338.0
1152.0,7.0,857.0,10.0,2583,528.0
1253.0,6.0,997.0,10.0,1958,586.0
1743.0,7.0,74.0,12.0,785,118.0
1581.0,5.0,621.0,8.0,685,380.0
975.0,7.0,595.0,9.0,2498,390.0
955.0,1.0,713.0,4.0,242,390.0
1328.0,1.0,180.0,9.0,1066,152.0
1394.0,9.0,282.0,5.0,2951,258.0
1884.0,5.0,898.0,9.0,817,531.0
1524.0,5.0,708.0,12.0,742,424.0
886.0,3.0,544.0,11.0,2648,357.0
847.0,5.0,400.0,12.0,469,244.0
689.0,3.0,949.0,11.0,1209,524.0
1004.0,9.0,702.0,6.0,886,415.0
1714.0,9.0,336.0,11.0,2886,294.0
1892.0,6.0,117.0,9.0,1583,158.0
1932.0,1.0,856.0,9.0,1049,508.0
1323.0,7.0,171.0,9.0,1448,167.0
1428.0,7.0,823.0,6.0,621,479.0
1433.0,10.0,461.0,4.0,2636,345.0
1640.0,10.0,215.0,7.0,2052,216.0
633.0,4.0,599.0,9.0,2544,376.0
557.0,8.0,25.0,5.0,454,53.0
1184.0,6.0,336.0,10.0,1046,235.0
1171.0,4.0,617.0,10.0,2435,399.0
672.0,4.0,668.0,7.0,1582,392.0
1314.0,2.0,11.0,7.0,1747,83.0
1672.0,2.0,19.0,4.0,635,75.0
579.0,4.0,443.0,5.0,1414,274.0
1385.0,5.0,134.0,12.0,2998,178.0
1736.0,8.0,90.0,11.0,2985,172.0
702.0,6.0,494.0,11.0,2315,325.0
1263.0,4.0,661.0,12.0,1049,397.0
1752.0,7.0,847.0,10.0,720,503.0
1750.0,8.0,159.0,12.0,527,158.0
1964.0,2.0,809.0,5.0,1825,502.0
1925.0,7.0,882.0,9.0,2637,564.0
546.0,2.0,349.0,6.0,2502,244.0
1756.0,2.0,138.0,9.0,2343,171.0
1828.0,8.0,447.0,6.0,644,306.0
1666.0,2.0,760.0,11.0,2864,490.0
1938.0,9.0,510.0,7.0,923,348.0
1896.0,1.0,67.0,9.0,1102,113.0
1782.0,9.0,207.0,12.0,758,189.0
1155.0,1.0,220.0,5.0,2927,204.0
970.0,10.0,923.0,5.0,2158,552.0
1470.0,10.0,911.0,10.0,2543,569.0
1535.0,2.0,54.0,5.0,830,92.0
1853.0,6.0,106.0,5.0,1932,158.0
1235.0,6.0,288.0,7.0,508,202.0
1283.0,1.0,544.0,12.0,2509,362.0
1467.0,7.0,419.0,11.0,183,270.0
857.0,8.0,470.0,5.0,2303,321.0
1471.0,2.0,400.0,11.0,806,263.0
1931.0,8.0,856.0,7.0,2061,542.0
1167.0,9.0,53.0,5.0,2619,130.0
872.0,6.0,36.0,10.0,2766,110.0
1531.0,5.0,803.0,9.0,1547,487.0
1645.0,9.0,106.0,8.0,233,124.0
1871.0,9.0,984.0,4.0,887,582.0
1175.0,1.0,557.0,5.0,963,334.0
589.0,3.0,630.0,11.0,766,353.0
1197.0,9.0,576.0,4.0,376,348.0
1839.0,2.0,713.0,6.0,1875,452.0
1701.0,4.0,228.0,5.0,981,191.0
1039.0,4.0,194.0,8.0,2160,178.0
1231.0,2.0,78.0,7.0,2489,128.0
1368.0,3.0,838.0,10.0,2182,509.0
540.0,3.0,139.0,8.0,2706,145.0
1239.0,1.0,576.0,11.0,1337,353.0
1001.0,6.0,899.0,7.0,2552,541.0
1458.0,8.0,618.0,9.0,2805,424.0
1668.0,3.0,857.0,7.0,258,488.0
1724.0,5.0,608.0,5.0,1233,389.0
1428.0,1.0,815.0,4.0,2696,505.0
960.0,10.0,640.0,4.0,1951,406.0
1231.0,7.0,729.0,11.0,378,422.0
1251.0,10.0,343.0,7.0,2626,280.0
1424.0,1.0,934.0,8.0,210,515.0
1408.0,9.0,163.0,11.0,2578,192.0
1776.0,8.0,556.0,10.0,641,359.0
889.0,7.0,88.0,11.0,1238,109.0
1382.0,10.0,588.0,11.0,459,364.0
755.0,7.0,864.0,9.0,2519,518.0
1208.0,5.0,422.0,5.0,1338,282.0
949.0,5.0,555.0,9.0,1856,352.0
509.0,5.0,618.0,4.0,1054,354.0
1323.0,1.0,178.0,4.0,2406,177.0
1297.0,8.0,690.0,6.0,2925,457.0
1765.0,1.0,672.0,6.0,2267,435.0
1774.0,4.0,592.0,8.0,1075,378.0
1376.0,9.0,524.0,4.0,1012,340.0
1528.0,9.0,323.0,9.0,1251,249.0
1642.0,5.0,41.0,10.0,822,95.0
1515.0,4.0,296.0,6.0,2670,253.0
873.0,3.0,603.0,7.0,1811,369.0
1588.0,3.0,52.0,6.0,424,87.0
645.0,5.0,912.0,4.0,1629,516.0
723.0,10.0,626.0,11.0,1649,387.0
1762.0,1.0,10.0,5.0,1173,82.0
676.0,5.0,582.0,4.0,2045,361.0
1352.0,6.0,279.0,11.0,1707,225.0
1805.0,7.0,189.0,10.0,2216,206.0
562.0,9.0,745.0,10.0,490,416.0
1740.0,3.0,527.0,7.0,2530,371.0
1326.0,2.0,112.0,12.0,115,101.0
1294.0,3.0,19.0,9.0,945,72.0
1188.0,9.0,592.0,5.0,968,368.0
1984.0,7.0,99.0,4.0,667,135.0
604.0,9.0,235.0,4.0,2279,198.0
1622.0,2.0,679.0,12.0,2119,434.0
1010.0,5.0,749.0,7.0,2420,462.0
884.0,4.0,926.0,8.0,1746,531.0
904.0,2.0,135.0,6.0,2631,150.0
1322.0,9.0,965.0,7.0,2697,593.0
1017.0,9.0,218.0,11.0,456,166.0
975.0,6.0,106.0,7.0,1756,128.0
1208.0,6.0,83.0,12.0,2380,137.0
1270.0,8.0,636.0,12.0,135,374.0
1960.0,6.0,200.0,9.0,2560,221.0
1546.0,1.0,691.0,5.0,1127,415.0
1496.0,4.0,828.0,10.0,2191,510.0
1176.0,7.0,969.0,12.0,2715,587.0
1213.0,2.0,725.0,9.0,2887,460.0
1981.0,9.0,65.0,6.0,213,113.0
582.0,8.0,729.0,10.0,1872,434.0
1668.0,8.0,562.0,8.0,2544,397.0
1608.0,7.0,41.0,4.0,1297,107.0
1601.0,4.0,536.0,6.0,1378,350.0
956.0,2.0,583.0,8.0,565,334.0
500.0,3.0,676.0,10.0,1587,390.0
550.0,6.0,293.0,6.0,946,193.0
1184.0,5.0,730.0,9.0,601,421.0
1216.0,8.0,841.0,8.0,540,483.0
1969.0,6.0,503.0,4.0,2216,365.0
948.0,6.0,196.0,9.0,425,146.0
1380.0,1.0,507.0,11.0,1865,333.0
987.0,4.0,451.0,4.0,166,265.0
533.0,5.0,139.0,5.0,403,102.0
1871.0,3.0,648.0,7.0,1071,406.0
594.0,9.0,301.0,5.0,583,196.0
1595.0,1.0,123.0,12.0,1028,131.0
653.0,6.0,208.0,11.0,1540,165.0
749.0,6.0,22.0,11.0,248,50.0
1173.0,10.0,280.0,7.0,2731,249.0
937.0,5.0,610.0,8.0,2395,390.0
617.0,5.0,224.0,7.0,1224,164.0
1270.0,10.0,453.0,12.0,2849,341.0
1829.0,5.0,799.0,5.0,195,467.0
767.0,6.0,521.0,11.0,381,302.0
1577.0,8.0,456.0,5.0,2469,339.0
735.0,2.0,995.0,4.0,628,535.0
888.0,6.0,724.0,6.0,2410,447.0
1489.0,1.0,83.0,12.0,1742,122.0
1262.0,4.0,546.0,6.0,679,331.0
900.0,10.0,110.0,12.0,1763,136.0
1123.0,3.0,185.0,10.0,2441,180.0
1266.0,9.0,436.0,4.0,1731,307.0
1826.0,3.0,126.0,8.0,2542,173.0
1418.0,6.0,175.0,12.0,2660,194.0
1730.0,1.0,50.0,6.0,909,96.0
1752.0,6.0,438.0,12.0,792,299.0
1352.0,4.0,353.0,8.0,334,231.0
1077.0,8.0,433.0,12.0,1051,285.0
574.0,9.0,375.0,9.0,1954,261.0
934.0,4.0,129.0,12.0,1460,129.0
602.0,10.0,618.0,10.0,1131,369.0
1945.0,10.0,666.0,10.0,1566,442.0
1263.0,6.0,737.0,11.0,2064,459.0
1237.0,1.0,238.0,10.0,638,170.0
1305.0,4.0,834.0,12.0,919,482.0
1829.0,7.0,139.0,12.0,1781,173.0
597.0,1.0,361.0,9.0,371,207.0
1297.0,8.0,898.0,10.0,1128,525.0
1858.0,10.0,327.0,5.0,2022,278.0
1358.0,6.0,993.0,12.0,1342,575.0
934.0,5.0,658.0,4.0,1241,390.0
946.0,10.0,845.0,4.0,692,483.0
1831.0,9.0,346.0,6.0,1705,279.0
748.0,2.0,282.0,9.0,214,171.0
665.0,5.0,126.0,8.0,2410,140.0
1483.0,6.0,827.0,5.0,1777,504.0
1858.0,7.0,377.0,12.0,1545,288.0
1519.0,5.0,103.0,7.0,306,112.0
1041.0,9.0,177.0,7.0,2450,185.0
1258.0,1.0,963.0,8.0,211,524.0
1629.0,7.0,724.0,11.0,1540,455.0
580.0,10.0,350.0,7.0,1982,251.0
632.0,7.0,670.0,8.0,284,372.0
1296.0,4.0,923.0,7.0,1864,544.0
1399.0,9.0,704.0,9.0,1000,431.0
637.0,5.0,934.0,6.0,320,501.0
683.0,4.0,161.0,11.0,1567,139.0
1924.0,7.0,595.0,9.0,1193,392.0
1853.0,4.0,886.0,8.0,2769,561.0
1284.0,3.0,922.0,5.0,2574,556.0
1483.0,9.0,283.0,10.0,2791,259.0
568.0,8.0,563.0,5.0,2715,367.0
1045.0,1.0,505.0,4.0,2112,326.0
552.0,7.0,733.0,10.0,2590,448.0
1973.0,9.0,110.0,8.0,700,145.0
704.0,8.0,566.0,4.0,1260,344.0
625.0,8.0,91.0,7.0,603,91.0
542.0,6.0,538.0,7.0,2278,342.0
610.0,4.0,82.0,10.0,317,73.0
1260.0,8.0,23.0,12.0,2835,121.0
1706.0,3.0,442.0,5.0,2318,323.0
1347.0,9.0,166.0,4.0,1598,172.0
594.0,2.0,744.0,5.0,711,407.0
1897.0,2.0,141.0,10.0,1252,155.0
1399.0,7.0,347.0,9.0,156,231.0
859.0,10.0,413.0,7.0,1304,277.0
1399.0,4.0,385.0,4.0,345,248.0
780.0,10.0,897.0,4.0,243,495.0
1718.0,8.0,568.0,8.0,467,360.0
1718.0,9.0,116.0,4.0,1582,158.0
1166.0,7.0,629.0,10.0,2365,410.0
592.0,5.0,274.0,4.0,715,177.0
1171.0,8.0,214.0,4.0,1981,196.0
560.0,4.0,88.0,5.0,1688,101.0
1133.0,2.0,164.0,6.0,2589,170.0
1574.0,6.0,792.0,4.0,2988,513.0
1926.0,9.0,997.0,12.0,798,589.0
1528.0,1.0,256.0,11.0,975,194.0
1989.0,10.0,540.0,8.0,1785,384.0
1103.0,7.0,867.0,5.0,2923,538.0
1181.0,10.0,957.0,8.0,2909,591.0
1033.0,9.0,547.0,9.0,1044,342.0
1928.0,10.0,738.0,4.0,1022,466.0
1337.0,9.0,163.0,7.0,1846,175.0
1144.0,10.0,163.0,12.0,124,137.0
732.0,3.0,695.0,5.0,2953,433.0
1023.0,5.0,101.0,8.0,1787,126.0
845.0,8.0,442.0,4.0,1659,294.0
1569.0,8.0,347.0,7.0,2911,293.0
1045.0,4.0,489.0,7.0,1183,306.0
1601.0,1.0,702.0,9.0,533,411.0
1596.0,1.0,140.0,12.0,1189,143.0
1293.0,4.0,459.0,6.0,2712,329.0
748.0,6.0,819.0,12.0,2051,484.0
546.0,8.0,796.0,9.0,2253,474.0
1644.0,6.0,282.0,10.0,195,205.0
713.0,9.0,938.0,5.0,267,512.0
738.0,9.0,597.0,9.0,2189,381.0
1579.0,2.0,186.0,9.0,2002,183.0
849.0,10.0,705.0,5.0,2251,441.0
606.0,1.0,840.0,5.0,1968,478.0
1330.0,2.0,652.0,5.0,2667,422.0
547.0,5.0,884.0,4.0,2098,509.0
836.0,4.0,58.0,8.0,2429,109.0
1549.0,4.0,576.0,11.0,1233,366.0
1303.0,9.0,675.0,5.0,2110,435.0
1780.0,8.0,364.0,8.0,848,267.0
507.0,6.0,721.0,11.0,1991,427.0
1124.0,1.0,317.0,8.0,930,212.0
1776.0,2.0,877.0,5.0,148,497.0
1218.0,6.0,894.0,6.0,214,498.0
802.0,2.0,639.0,9.0,1278,372.0
1138.0,10.0,784.0,8.0,1772,480.0
555.0,5.0,55.0,7.0,2650,106.0
1225.0,5.0,311.0,7.0,170,204.0
1025.0,6.0,877.0,8.0,1459,509.0
973.0,6.0,921.0,5.0,166,504.0
527.0,6.0,417.0,12.0,1616,268.0
577.0,2.0,198.0,5.0,1773,154.0
1739.0,10.0,831.0,5.0,1877,524.0
1909.0,3.0,839.0,12.0,1066,503.0
864.0,6.0,138.0,6.0,2328,152.0
1165.0,8.0,570.0,10.0,1889,373.0
1025.0,1.0,546.0,7.0,712,319.0
1198.0,1.0,275.0,9.0,1986,214.0
1835.0,2.0,127.0,7.0,1722,156.0
1382.0,6.0,473.0,10.0,796,305.0
1530.0,9.0,153.0,4.0,2750,194.0
1526.0,4.0,451.0,6.0,2395,326.0
1418.0,3.0,209.0,6.0,1337,178.0
1249.0,8.0,166.0,4.0,2506,185.0
862.0,10.0,496.0,9.0,348,300.0
1797.0,9.0,869.0,12.0,737,520.0
1305.0,5.0,143.0,11.0,1049,141.0
1238.0,9.0,921.0,10.0,2004,555.0
1538.0,2.0,157.0,11.0,1211,152.0
1715.0,3.0,345.0,9.0,2810,285.0
984.0,7.0,80.0,12.0,275,88.0
527.0,7.0,242.0,6.0,822,166.0
1213.0,6.0,343.0,12.0,2573,271.0
1562.0,6.0,820.0,7.0,870,485.0
1796.0,2.0,675.0,10.0,2047,435.0
1754.0,10.0,99.0,12.0,802,137.0
585.0,6.0,343.0,5.0,2228,244.0
1997.0,4.0,208.0,5.0,1026,191.0
625.0,3.0,170.0,12.0,237,114.0
1311.0,2.0,547.0,6.0,2617,368.0
1036.0,1.0,130.0,12.0,2497,147.0
644.0,5.0,310.0,8.0,1249,208.0
1735.0,2.0,733.0,9.0,2040,462.0
524.0,2.0,584.0,5.0,1991,350.0
1917.0,7.0,972.0,11.0,1978,596.0
566.0,8.0,445.0,12.0,1353,282.0
732.0,10.0,77.0,5.0,1583,111.0
608.0,8.0,774.0,9.0,1468,450.0
1669.0,4.0,931.0,9.0,409,531.0
610.0,1.0,468.0,11.0,1143,276.0
727.0,7.0,523.0,8.0,1770,332.0
610.0,1.0,407.0,12.0,1664,256.0
1993.0,4.0,629.0,4.0,1683,414.0
533.0,8.0,295.0,12.0,1600,211.0
1122.0,2.0,570.0,10.0,2416,370.0
1892.0,6.0,149.0,7.0,869,159.0
1247.0,6.0,739.0,6.0,115,420.0
1094.0,9.0,565.0,9.0,705,346.0
924.0,5.0,938.0,4.0,1481,535.0
1112.0,10.0,790.0,6.0,912,465.0
1191.0,4.0,599.0,5.0,2090,384.0
1805.0,5.0,737.0,12.0,2629,484.0
1843.0,10.0,903.0,6.0,994,545.0
1966.0,5.0,619.0,5.0,1667,410.0
814.0,8.0,757.0,7.0,2416,466.0
1376.0,10.0,291.0,5.0,513,216.0
1900.0,8.0,670.0,4.0,124,409.0
1812.0,2.0,933.0,9.0,2104,566.0
1960.0,7.0,825.0,11.0,415,493.0
1161.0,8.0,945.0,5.0,670,535.0
776.0,6.0,587.0,12.0,824,344.0
1123.0,5.0,755.0,6.0,1949,459.0
1015.0,9.0,466.0,11.0,1399,309.0
1873.0,3.0,96.0,11.0,2053,150.0
1342.0,10.0,88.0,6.0,488,113.0
1969.0,4.0,214.0,6.0,2869,230.0
849.0,9.0,800.0,9.0,543,453.0
1322.0,6.0,346.0,4.0,2844,280.0
1660.0,8.0,263.0,7.0,1070,217.0
1258.0,7.0,313.0,4.0,2868,264.0
1398.0,2.0,389.0,6.0,2515,289.0
742.0,3.0,139.0,12.0,2064,138.0
1042.0,1.0,605.0,8.0,2489,384.0
1563.0,9.0,285.0,8.0,1928,245.0
728.0,7.0,708.0,7.0,403,397.0
1047.0,1.0,567.0,6.0,863,333.0
1419.0,3.0,908.0,8.0,2073,543.0
1746.0,4.0,192.0,7.0,915,173.0
505.0,4.0,277.0,11.0,2259,206.0
1845.0,5.0,817.0,7.0,977,492.0
967.0,3.0,331.0,11.0,802,216.0
574.0,3.0,521.0,9.0,2993,342.0
503.0,1.0,621.0,8.0,1043,347.0
1145.0,7.0,87.0,7.0,2426,139.0
617.0,10.0,793.0,7.0,2529,484.0
1380.0,1.0,348.0,7.0,2160,259.0
1003.0,2.0,683.0,12.0,402,383.0
1446.0,4.0,565.0,7.0,1679,366.0
1073.0,4.0,518.0,12.0,259,304.0
1964.0,5.0,247.0,9.0,2301,237.0
693.0,2.0,143.0,10.0,2901,153.0
1346.0,4.0,982.0,6.0,2328,585.0
1214.0,1.0,201.0,11.0,1303,164.0
1915.0,2.0,365.0,6.0,2524,293.0
1549.0,1.0,287.0,4.0,2923,249.0
1958.0,10.0,27.0,8.0,1291,117.0
672.0,10.0,533.0,5.0,1273,331.0
1823.0,4.0,189.0,9.0,2163,199.0
825.0,4.0,132.0,12.0,1214,122.0
1933.0,7.0,255.0,4.0,1243,223.0
1641.0,10.0,743.0,7.0,2079,481.0
1335.0,9.0,382.0,4.0,352,254.0
1223.0,9.0,60.0,4.0,1532,114.0
724.0,5.0,80.0,11.0,2178,114.0
1031.0,10.0,489.0,5.0,830,311.0
612.0,1.0,569.0,4.0,2436,352.0
639.0,1.0,28.0,11.0,597,46.0
1058.0,6.0,783.0,7.0,1528,464.0
500.0,2.0,93.0,6.0,647,77.0
589.0,8.0,164.0,7.0,1060,136.0
1153.0,9.0,574.0,8.0,231,343.0
819.0,4.0,628.0,4.0,1447,374.0
638.0,5.0,366.0,4.0,957,230.0
1344.0,8.0,825.0,6.0,1255,493.0
758.0,3.0,656.0,9.0,2132,398.0
1401.0,5.0,452.0,4.0,620,289.0
1189.0,3.0,78.0,5.0,129,82.0
509.0,10.0,532.0,10.0,2774,356.0
760.0,3.0,152.0,4.0,2151,146.0
671.0,3.0,201.0,10.0,608,138.0
1397.0,7.0,396.0,7.0,1360,280.0
512.0,7.0,387.0,9.0,1658,255.0
1691.0,7.0,590.0,11.0,115,361.0
820.0,10.0,544.0,12.0,1096,338.0
1842.0,8.0,702.0,9.0,1707,455.0
828.0,5.0,302.0,12.0,1939,224.0
1284.0,5.0,18.0,7.0,2116,99.0
1276.0,4.0,280.0,9.0,1353,212.0
1410.0,7.0,396.0,11.0,1843,290.0
1942.0,10.0,102.0,12.0,2410,177.0
1618.0,4.0,975.0,6.0,1188,566.0
817.0,2.0,538.0,5.0,2412,344.0
735.0,4.0,163.0,9.0,1461,140.0
833.0,8.0,414.0,7.0,477,256.0
875.0,9.0,849.0,4.0,1298,493.0
1982.0,3.0,158.0,11.0,575,155.0
1660.0,7.0,898.0,12.0,1389,540.0
1087.0,9.0,276.0,12.0,428,196.0
1012.0,4.0,431.0,5.0,1939,291.0
1819.0,10.0,849.0,12.0,1286,524.0
1843.0,3.0,627.0,10.0,537,385.0
1417.0,5.0,481.0,8.0,1490,322.0
1872.0,1.0,902.0,10.0,1873,546.0
1372.0,3.0,556.0,12.0,1322,351.0
1752.0,8.0,640.0,11.0,1623,420.0
769.0,8.0,535.0,9.0,2163,349.0
1297.0,4.0,512.0,7.0,1944,340.0
1814.0,2.0,23.0,4.0,1419,97.0
1224.0,8.0,787.0,9.0,967,464.0
1688.0,8.0,661.0,6.0,2658,449.0
504.0,10.0,815.0,9.0,1911,480.0
1350.0,4.0,373.0,9.0,1083,256.0
1902.0,3.0,128.0,7.0,1362,153.0
577.0,2.0,247.0,5.0,2728,198.0
1933.0,9.0,555.0,12.0,1424,381.0
1073.0,1.0,178.0,5.0,2153,165.0
631.0,7.0,531.0,6.0,1118,319.0
1100.0,5.0,643.0,4.0,1889,401.0
1565.0,8.0,922.0,10.0,906,541.0
588.0,4.0,666.0,4.0,1993,397.0
901.0,7.0,972.0,12.0,1509,556.0
795.0,5.0,967.0,4.0,2766,571.0
1818.0,5.0,744.0,8.0,1418,464.0
1115.0,9.0,892.0,10.0,1241,521.0
1299.0,9.0,778.0,6.0,504,455.0
921.0,9.0,789.0,12.0,1886,477.0
1546.0,6.0,880.0,11.0,693,511.0
1074.0,6.0,525.0,6.0,2713,360.0
642.0,5.0,947.0,8.0,2899,560.0
1492.0,9.0,406.0,10.0,111,267.0
1164.0,10.0,875.0,7.0,2312,537.0
644.0,8.0,115.0,8.0,1417,120.0
1748.0,7.0,94.0,6.0,1642,145.0
1506.0,7.0,223.0,12.0,2225,214.0
1002.0,6.0,130.0,12.0,713,121.0
1320.0,5.0,141.0,10.0,2086,161.0
603.0,4.0,859.0,5.0,968,473.0
1562.0,3.0,206.0,10.0,911,173.0
697.0,3.0,28.0,10.0,1922,78.0
1078.0,6.0,651.0,8.0,866,386.0
890.0,4.0,21.0,12.0,181,48.0
1702.0,6.0,90.0,6.0,1844,144.0
1053.0,3.0,339.0,7.0,2356,253.0
1971.0,4.0,875.0,4.0,621,515.0
1538.0,9.0,783.0,9.0,1427,483.0
1812.0,5.0,401.0,7.0,1093,285.0
977.0,7.0,646.0,4.0,2612,417.0
1754.0,10.0,316.0,5.0,1625,262.0
1422.0,2.0,276.0,6.0,1569,215.0
919.0,5.0,456.0,12.0,2775,320.0
656.0,9.0,450.0,11.0,1613,294.0
1049.0,3.0,904.0,10.0,880,506.0
1964.0,9.0,661.0,7.0,1551,437.0
1620.0,6.0,850.0,4.0,658,497.0
1520.0,4.0,11.0,11.0,2238,103.0
1496.0,7.0,529.0,7.0,2137,365.0
1934.0,8.0,771.0,6.0,1853,495.0
1450.0,6.0,660.0,12.0,959,404.0
788.0,5.0,645.0,7.0,1712,389.0
1777.0,6.0,318.0,7.0,655,236.0
695.0,5.0,749.0,12.0,255,410.0
1097.0,8.0,531.0,5.0,2149,356.0
1016.0,1.0,478.0,8.0,1480,300.0
1364.0,7.0,221.0,7.0,924,183.0
1641.0,10.0,121.0,12.0,1692,163.0
1305.0,10.0,17.0,8.0,2949,125.0
1682.0,2.0,813.0,12.0,1181,484.0
1314.0,9.0,486.0,12.0,1303,326.0
727.0,1.0,883.0,5.0,592,476.0
715.0,10.0,469.0,12.0,768,291.0
1447.0,6.0,262.0,6.0,174,188.0
514.0,9.0,535.0,7.0,470,309.0
1680.0,1.0,761.0,4.0,686,445.0
1784.0,4.0,447.0,4.0,428,292.0
1680.0,4.0,763.0,4.0,689,452.0
546.0,9.0,990.0,12.0,1890,566.0
823.0,5.0,863.0,11.0,876,483.0
1343.0,5.0,670.0,8.0,2122,427.0
629.0,6.0,245.0,8.0,2451,201.0
1934.0,1.0,315.0,12.0,678,230.0
594.0,1.0,487.0,6.0,320,268.0
1126.0,9.0,688.0,6.0,1287,420.0
1254.0,3.0,29.0,10.0,1603,89.0
1815.0,4.0,225.0,12.0,2522,225.0
1293.0,1.0,864.0,9.0,1807,508.0
1806.0,9.0,144.0,5.0,1845,180.0
568.0,8.0,914.0,4.0,287,494.0
510.0,2.0,138.0,5.0,1314,113.0
1777.0,8.0,419.0,4.0,1209,301.0
1371.0,7.0,431.0,12.0,2621,322.0
1049.0,6.0,303.0,11.0,943,213.0
1657.0,1.0,255.0,10.0,630,191.0
1211.0,7.0,710.0,6.0,1170,427.0
522.0,10.0,565.0,11.0,1062,338.0
1314.0,7.0,95.0,5.0,2622,152.0
845.0,9.0,565.0,5.0,1269,350.0
801.0,1.0,851.0,6.0,1505,480.0
862.0,2.0,384.0,10.0,616,233.0
895.0,9.0,455.0,4.0,1988,311.0
717.0,9.0,387.0,11.0,2573,284.0
640.0,6.0,399.0,10.0,1591,262.0
1457.0,6.0,666.0,7.0,1217,412.0
1733.0,4.0,60.0,8.0,232,93.0
1484.0,4.0,251.0,4.0,413,185.0
1492.0,5.0,303.0,7.0,690,219.0
1327.0,3.0,929.0,4.0,1643,542.0
1182.0,1.0,572.0,4.0,2306,368.0
1983.0,1.0,275.0,4.0,2808,254.0
1503.0,7.0,129.0,10.0,1985,162.0
855.0,1.0,721.0,10.0,1726,422.0
1507.0,1.0,926.0,7.0,847,526.0
1847.0,3.0,257.0,5.0,1597,220.0
1656.0,10.0,79.0,6.0,900,126.0
1387.0,4.0,862.0,11.0,2557,531.0
626.0,4.0,66.0,11.0,1597,91.0
1629.0,2.0,391.0,9.0,1479,277.0
1508.0,1.0,48.0,12.0,779,86.0
1103.0,3.0,993.0,12.0,2261,580.0
1901.0,4.0,810.0,7.0,996,489.0
1513.0,3.0,452.0,4.0,1646,309.0
